activities,datetime,id,imageCount,region,tags,title,username,area.id,area.name,area.slug,location.latitude,location.longitude,observations.avalanche,observations.incident,observations.quick,observations.snowpack,observations.weather
,2016-11-27T08:30:00Z,473fa3bc-cd6e-43de-9896-0fcf919334bc,0,Sea to Sky,['snowConditions'],Hanging lake,Matt Kusy,93518f8b-24b0-47c5-8a17-6a6ffa409a83,Sea to Sky,sea-to-sky,50.152225025564135,-123.0873656272888,0,0,1,0,0
,2016-11-27T04:45:00Z,be10402e-f63d-4a9f-8e01-828d552994d8,0,,['snowConditions'],Burstal pass,Dylan White,,,,50.763,-115.38,0,0,1,0,0
,2016-11-27T04:38:00Z,f58327d0-9447-4076-934d-7a3885ffd77e,0,Kootenay Boundary,['snowConditions'],SE Buzz's Ridge,amber_cooke,da61db13-64bf-4e21-9ade-d06b2c9390f8,Kootenay Boundary,kootenay-boundary,49.074,-117.046,0,0,1,0,0
,2016-11-27T04:20:00Z,728cbd04-42f8-4e25-8392-2998bc4641b1,0,Kootenay Boundary,['snowConditions'],NW Cornice Ridge,amber_cooke,da61db13-64bf-4e21-9ade-d06b2c9390f8,Kootenay Boundary,kootenay-boundary,49.07,-117.056,0,0,1,1,0
,2016-11-27T04:13:00Z,9e478307-38e8-4b8c-bde2-10099e964198,1,North Rockies,['snowConditions'],Core Lodge -Tumbler Ridge,Richard Cronier,69c9e943-4fdf-493d-8ff0-e9963e6162b8,North Rockies,north-rockies,54.908988074013656,-121.05285644531249,0,0,1,0,0
,2016-11-27T01:55:00Z,348bf634-53e4-4ab9-abfd-cddce11b5cb4,0,,['snowConditions'],White Mountain North Face,derek.cronmiller,,,,60.337,-133.908,0,0,1,0,0
,2016-11-27T01:38:00Z,f943a4f3-82d4-473d-9a87-1518940bfe44,0,Kananaskis Country,['snowConditions'],Highwood Pass Area,matt.kielbasinski,2e710073-a73a-49d1-9603-0c0b5ff90033,Kananaskis Country,kananaskis,50.59,-115.005,0,0,1,0,0
,2016-11-27T01:00:00Z,94d61002-3cd8-4976-823e-7270b6d4a68e,0,Kootenay Boundary,['snowConditions'],White/Black Queen,staema,da61db13-64bf-4e21-9ade-d06b2c9390f8,Kootenay Boundary,kootenay-boundary,49.458,-117.147,0,0,1,0,0
,2016-11-27T00:25:00Z,1f58486a-5212-471c-9ed7-7dd638301c07,0,North Columbia,['snowConditions'],Boulder mtn,lionelbirkenbach,9b642bc3-6f7c-47c4-b0e6-101751e2a25c,North Columbia,north-columbia,51.01224266087926,-118.35811614990234,0,0,1,0,0
,2016-11-27T00:19:00Z,062b0b89-e2af-4d60-8e20-8fe2d5428857,0,North Columbia,['snowConditions'],Gorge KM 17,chris1perra,9b642bc3-6f7c-47c4-b0e6-101751e2a25c,North Columbia,north-columbia,51.048,-118.82,1,0,1,0,1
,2016-11-27T00:08:00Z,f925f092-6eb5-4468-9716-0574df176b3c,0,Kootenay Boundary,['snowConditions'],auto: Quick Report,lmtedesco,da61db13-64bf-4e21-9ade-d06b2c9390f8,Kootenay Boundary,kootenay-boundary,49.04958420397471,-117.03464984893799,0,0,1,0,0
,2016-11-26T22:30:00Z,3ddc3f21-9f58-4c83-871b-25de9719be73,0,"Banff, Yoho, and Kootenay National Parks",['snowConditions'],Avalanche Involvement - West Bowl,ian.jackson,,,,51.46737,-116.14398,1,1,0,0,0
,2016-11-26T22:06:00Z,39683243-d248-48a8-b651-4957d2307481,0,Cariboos,['snowConditions'],Test,curtis,ef141791-2352-4fcc-a1ef-86ed440e6240,Cariboos,cariboos,52.59470732266976,-119.21288920857478,0,0,1,0,0
,2016-11-26T22:06:00Z,cc0ebbd4-1f24-4c29-b8fa-0a7b081d0fc2,0,Cariboos,['snowConditions'],auto: Quick Report,curtis,ef141791-2352-4fcc-a1ef-86ed440e6240,Cariboos,cariboos,52.584147732158165,-119.17897614883259,0,0,1,0,0
,2016-11-26T21:00:00Z,3fe11e77-0eb1-46b8-9441-63cceb0b7517,0,South Coast,['snowConditions'],North of Grouse Mtn,Zack Wentz,5ab6602b-ad84-440b-888e-e1a01f535cab,South Coast,south-coast,49.398,-123.082,0,0,1,0,0
,2016-11-26T21:00:00Z,378d22cf-a878-4f5c-b2d1-65b56dca932a,0,"Banff, Yoho, and Kootenay National Parks",['snowConditions'],Simpson Pass,Bryan Birn,,,,51.08742993502126,-115.81029224435042,0,0,1,0,0
,2016-11-26T20:15:00Z,a357e63f-651a-41bc-baad-93590381777c,0,,['snowConditions'],Burstall Pass Nov 26,dapatters,,,,50.7496,-115.3672,0,0,1,1,1
,2016-11-26T16:42:00Z,467e6093-84cb-45d3-850f-a71a12decaec,0,North Columbia,['snowConditions'],Gorge,tpalechuk,9b642bc3-6f7c-47c4-b0e6-101751e2a25c,North Columbia,north-columbia,51.031,-118.81,0,0,1,0,0
,2016-11-26T08:45:00Z,f1216d0e-9cec-4488-9949-aa28dd0fa8be,2,North Columbia,['snowConditions'],The Gorge,Alex Cooper,9b642bc3-6f7c-47c4-b0e6-101751e2a25c,North Columbia,north-columbia,51.03558886250958,-118.80756339523941,0,0,1,0,0
,2016-11-26T07:00:00Z,212d08b5-674a-44f5-b6d4-8370f96d6eb3,0,Lizard-Flathead,['snowConditions'],Harvey's Pass day,Ben Yeager,6fa00a5a-e829-4dcb-8733-c9eae75f8821,Lizard-Flathead,lizard-range,49.27138884351881,-114.72593307495116,0,0,1,0,0
,2016-11-26T05:54:00Z,e51405a5-c301-40f3-91c0-c66237e30234,1,Sea to Sky,['snowConditions'],Disease Ridge,Matt Gunn,93518f8b-24b0-47c5-8a17-6a6ffa409a83,Sea to Sky,sea-to-sky,50.073,-122.878,0,0,1,0,0
